dim,id,mode,freq,size,len,attr_ratio,score,TP,FP,FN,Precision,Recall,F1,Transition_Accuracy,Attractors_Correct,Attractors_True_Count,Attractors_Learned_Count,Attractors_Precision,Attractors_Recall,Attractors_F1,filename
10,002,async,5,10,50,1.0,MDL,5,13,23,0.2777777777777778,0.17857142857142858,0.21739130434782608,0.0,0,2,2,0.0,0.0,0,10d_002_async_f5_s10_l50_at1.0_scrMDL.bif
10,002,async,1,1,50,0.8,MDL,1,6,27,0.14285714285714285,0.03571428571428571,0.05714285714285715,0.0,0,2,64,0.0,0.0,0,10d_002_async_f1_s1_l50_at0.8_scrMDL.bif
10,002,async,1,10,50,0.8,MDL,1,12,27,0.07692307692307693,0.03571428571428571,0.04878048780487805,0.0,0,2,768,0.0,0.0,0,10d_002_async_f1_s10_l50_at0.8_scrMDL.bif
10,002,async,5,1,500,1.0,MDL,0,1,28,0.0,0.0,0.0,0.0,0,2,512,0.0,0.0,0,10d_002_async_f5_s1_l500_at1.0_scrMDL.bif
10,002,async,1,1,100,0.9,MDL,2,4,26,0.3333333333333333,0.07142857142857142,0.11764705882352941,0.0,0,2,128,0.0,0.0,0,10d_002_async_f1_s1_l100_at0.9_scrMDL.bif
10,002,async,1,300,50,0.8,BDE,9,20,19,0.3103448275862069,0.32142857142857145,0.31578947368421056,0.0,0,2,896,0.0,0.0,0,10d_002_async_f1_s300_l50_at0.8_scrBDE.bif
10,002,sync,1,1,10,0.1,BDE,1,2,27,0.3333333333333333,0.03571428571428571,0.06451612903225806,0.0,0,3,128,0.0,0.0,0,10d_002_sync_f1_s1_l10_at0.1_scrBDE.bif
10,002,async,10,300,10,0.9,MDL,7,23,21,0.23333333333333334,0.25,0.2413793103448276,0.0,0,2,3,0.0,0.0,0,10d_002_async_f10_s300_l10_at0.9_scrMDL.bif
10,002,async,1,300,500,1.0,BDE,10,20,18,0.3333333333333333,0.35714285714285715,0.3448275862068965,0.0,0,2,896,0.0,0.0,0,10d_002_async_f1_s300_l500_at1.0_scrBDE.bif
10,002,sync,1,300,10,0.4,BDE,11,17,17,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.0,0,3,3,0.0,0.0,0,10d_002_sync_f1_s300_l10_at0.4_scrBDE.bif
10,002,async,5,100,10,0.6,BDE,8,18,20,0.3076923076923077,0.2857142857142857,0.29629629629629634,0.0,0,2,9,0.0,0.0,0,10d_002_async_f5_s100_l10_at0.6_scrBDE.bif
10,002,sync,10,10,10,0.9,BDE,7,14,21,0.3333333333333333,0.25,0.28571428571428575,0.0009765625,0,3,68,0.0,0.0,0,10d_002_sync_f10_s10_l10_at0.9_scrBDE.bif
10,002,async,1,100,10,1.0,MDL,5,15,23,0.25,0.17857142857142858,0.20833333333333331,0.0,0,2,1024,0.0,0.0,0,10d_002_async_f1_s100_l10_at1.0_scrMDL.bif
10,002,sync,5,10,10,0.7,MDL,5,12,23,0.29411764705882354,0.17857142857142858,0.22222222222222224,0.001953125,0,3,4,0.0,0.0,0,10d_002_sync_f5_s10_l10_at0.7_scrMDL.bif
10,002,async,10,10,100,1.0,BDE,3,9,25,0.25,0.10714285714285714,0.15,0.0,0,2,2,0.0,0.0,0,10d_002_async_f10_s10_l100_at1.0_scrBDE.bif
10,002,sync,1,10,10,0.0,BDE,7,13,21,0.35,0.25,0.2916666666666667,0.0009765625,0,3,5,0.0,0.0,0,10d_002_sync_f1_s10_l10_at0.0_scrBDE.bif
10,002,sync,1,100,10,0.6,BDE,10,14,18,0.4166666666666667,0.35714285714285715,0.3846153846153846,0.0,0,3,2,0.0,0.0,0,10d_002_sync_f1_s100_l10_at0.6_scrBDE.bif
10,002,sync,1,100,100,1.0,MDL,9,17,19,0.34615384615384615,0.32142857142857145,0.3333333333333333,0.0,0,3,3,0.0,0.0,0,10d_002_sync_f1_s100_l100_at1.0_scrMDL.bif
10,002,async,1,1,500,1.0,MDL,1,4,27,0.2,0.03571428571428571,0.06060606060606061,0.0,0,2,384,0.0,0.0,0,10d_002_async_f1_s1_l500_at1.0_scrMDL.bif
10,002,sync,1,1,10,0.6,MDL,1,3,27,0.25,0.03571428571428571,0.0625,0.0,0,3,64,0.0,0.0,0,10d_002_sync_f1_s1_l10_at0.6_scrMDL.bif
10,002,async,1,300,100,0.9,BDE,8,22,20,0.26666666666666666,0.2857142857142857,0.2758620689655172,0.0,0,2,896,0.0,0.0,0,10d_002_async_f1_s300_l100_at0.9_scrBDE.bif
10,002,sync,5,300,50,1.0,BDE,8,19,20,0.2962962962962963,0.2857142857142857,0.2909090909090909,0.0,0,3,3,0.0,0.0,0,10d_002_sync_f5_s300_l50_at1.0_scrBDE.bif
10,002,async,1,10,50,1.0,MDL,4,18,24,0.18181818181818182,0.14285714285714285,0.16,0.0,0,2,448,0.0,0.0,0,10d_002_async_f1_s10_l50_at1.0_scrMDL.bif
10,002,sync,10,1,50,1.0,MDL,3,2,25,0.6,0.10714285714285714,0.18181818181818182,0.0009765625,0,3,32,0.0,0.0,0,10d_002_sync_f10_s1_l50_at1.0_scrMDL.bif
10,002,async,1,1,50,1.0,MDL,3,7,25,0.3,0.10714285714285714,0.15789473684210525,0.0,0,2,256,0.0,0.0,0,10d_002_async_f1_s1_l50_at1.0_scrMDL.bif
10,002,sync,5,1,10,0.9,BDE,0,1,28,0.0,0.0,0.0,0.0,0,3,512,0.0,0.0,0,10d_002_sync_f5_s1_l10_at0.9_scrBDE.bif
10,002,async,1,300,50,1.0,BDE,10,20,18,0.3333333333333333,0.35714285714285715,0.3448275862068965,0.0,0,2,704,0.0,0.0,0,10d_002_async_f1_s300_l50_at1.0_scrBDE.bif
10,002,async,5,1,100,0.9,MDL,1,3,27,0.25,0.03571428571428571,0.0625,0.0009765625,0,2,64,0.0,0.0,0,10d_002_async_f5_s1_l100_at0.9_scrMDL.bif
10,002,async,1,100,10,0.8,MDL,6,21,22,0.2222222222222222,0.21428571428571427,0.21818181818181817,0.0,0,2,704,0.0,0.0,0,10d_002_async_f1_s100_l10_at0.8_scrMDL.bif
10,002,async,10,1,10,0.7,MDL,1,1,27,0.5,0.03571428571428571,0.06666666666666667,0.0,0,2,256,0.0,0.0,0,10d_002_async_f10_s1_l10_at0.7_scrMDL.bif
