dim,id,mode,freq,size,len,attr_ratio,score,TP,FP,FN,Precision,Recall,F1,Transition_Accuracy,Attractors_Correct,Attractors_True_Count,Attractors_Learned_Count,Attractors_Precision,Attractors_Recall,Attractors_F1,filename
5,000,sync,10,300,100,1.0,BDE,2,9,6,0.18181818181818182,0.25,0.2105263157894737,0.0625,1,3,11,0.09090909090909091,0.3333333333333333,0.14285714285714288,5d_000_sync_f10_s300_l100_at1.0_scrBDE.bif
5,000,sync,10,300,50,1.0,BDE,2,9,6,0.18181818181818182,0.25,0.2105263157894737,0.0625,1,3,11,0.09090909090909091,0.3333333333333333,0.14285714285714288,5d_000_sync_f10_s300_l50_at1.0_scrBDE.bif
5,000,sync,1,1,10,0.6,MDL,2,2,6,0.5,0.25,0.3333333333333333,0.15625,1,3,2,0.5,0.3333333333333333,0.4,5d_000_sync_f1_s1_l10_at0.6_scrMDL.bif
5,000,sync,1,10,100,0.9,MDL,4,3,4,0.5714285714285714,0.5,0.5333333333333333,0.375,1,3,1,1.0,0.3333333333333333,0.5,5d_000_sync_f1_s10_l100_at0.9_scrMDL.bif
5,000,async,1,1,50,0.9,BDE,4,1,4,0.8,0.5,0.6153846153846154,0.3125,1,2,4,0.25,0.5,0.3333333333333333,5d_000_async_f1_s1_l50_at0.9_scrBDE.bif
5,000,sync,5,1,10,0.9,BDE,0,0,8,0.0,0.0,0.0,0.03125,1,3,32,0.03125,0.3333333333333333,0.05714285714285714,5d_000_sync_f5_s1_l10_at0.9_scrBDE.bif
5,000,async,5,100,10,1.0,BDE,5,6,3,0.45454545454545453,0.625,0.5263157894736842,0.0625,1,2,4,0.25,0.5,0.3333333333333333,5d_000_async_f5_s100_l10_at1.0_scrBDE.bif
5,000,async,1,100,10,0.6,MDL,7,6,1,0.5384615384615384,0.875,0.6666666666666667,0.28125,1,2,10,0.1,0.5,0.16666666666666669,5d_000_async_f1_s100_l10_at0.6_scrMDL.bif
5,000,sync,1,300,10,1.0,BDE,8,0,0,1.0,1.0,1.0,0.8125,3,3,4,0.75,1.0,0.8571428571428571,5d_000_sync_f1_s300_l10_at1.0_scrBDE.bif
5,000,async,1,10,10,0.6,BDE,3,4,5,0.42857142857142855,0.375,0.39999999999999997,0.21875,1,2,8,0.125,0.5,0.2,5d_000_async_f1_s10_l10_at0.6_scrBDE.bif
5,000,async,5,300,100,1.0,MDL,6,7,2,0.46153846153846156,0.75,0.5714285714285714,0.03125,1,2,5,0.2,0.5,0.28571428571428575,5d_000_async_f5_s300_l100_at1.0_scrMDL.bif
5,000,async,10,10,10,0.9,MDL,1,4,7,0.2,0.125,0.15384615384615385,0.09375,1,2,2,0.5,0.5,0.5,5d_000_async_f10_s10_l10_at0.9_scrMDL.bif
5,000,async,5,300,50,1.0,MDL,6,7,2,0.46153846153846156,0.75,0.5714285714285714,0.0625,2,2,2,1.0,1.0,1.0,5d_000_async_f5_s300_l50_at1.0_scrMDL.bif
5,000,sync,1,100,50,1.0,MDL,8,0,0,1.0,1.0,1.0,1.0,3,3,3,1.0,1.0,1.0,5d_000_sync_f1_s100_l50_at1.0_scrMDL.bif
5,000,sync,1,10,500,1.0,MDL,8,0,0,1.0,1.0,1.0,1.0,3,3,3,1.0,1.0,1.0,5d_000_sync_f1_s10_l500_at1.0_scrMDL.bif
5,000,sync,1,300,10,0.8,BDE,8,0,0,1.0,1.0,1.0,1.0,3,3,3,1.0,1.0,1.0,5d_000_sync_f1_s300_l10_at0.8_scrBDE.bif
5,000,async,5,100,10,0.8,BDE,6,3,2,0.6666666666666666,0.75,0.7058823529411765,0.0625,1,2,2,0.5,0.5,0.5,5d_000_async_f5_s100_l10_at0.8_scrBDE.bif
