dim,id,mode,freq,size,len,attr_ratio,score,TP,FP,FN,Precision,Recall,F1,Transition_Accuracy,Attractors_Correct,Attractors_True_Count,Attractors_Learned_Count,Attractors_Precision,Attractors_Recall,Attractors_F1,filename
7,002,async,10,100,10,0.9,BDE,9,10,6,0.47368421052631576,0.6,0.5294117647058824,0.078125,2,3,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,7d_002_async_f10_s100_l10_at0.9_scrBDE.bif
7,002,sync,1,100,50,0.9,BDE,13,1,2,0.9285714285714286,0.8666666666666667,0.896551724137931,0.625,2,3,2,1.0,0.6666666666666666,0.8,7d_002_sync_f1_s100_l50_at0.9_scrBDE.bif
7,002,async,1,10,100,0.9,BDE,7,4,8,0.6363636363636364,0.4666666666666667,0.5384615384615385,0.0703125,2,3,36,0.05555555555555555,0.6666666666666666,0.10256410256410256,7d_002_async_f1_s10_l100_at0.9_scrBDE.bif
7,002,sync,1,10,10,0.7,MDL,13,0,2,1.0,0.8666666666666667,0.9285714285714286,0.65625,2,3,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,7d_002_sync_f1_s10_l10_at0.7_scrMDL.bif
7,002,async,10,1,50,1.0,MDL,0,1,15,0.0,0.0,0.0,0.015625,0,3,64,0.0,0.0,0.0,7d_002_async_f10_s1_l50_at1.0_scrMDL.bif
7,002,async,1,300,10,1.0,MDL,11,7,4,0.6111111111111112,0.7333333333333333,0.6666666666666666,0.03125,1,3,96,0.010416666666666666,0.3333333333333333,0.0202020202020202,7d_002_async_f1_s300_l10_at1.0_scrMDL.bif
7,002,sync,10,1,50,1.0,MDL,0,0,15,0.0,0.0,0.0,0.015625,2,3,128,0.015625,0.6666666666666666,0.030534351145038167,7d_002_sync_f10_s1_l50_at1.0_scrMDL.bif
7,002,async,1,1,50,1.0,MDL,2,5,13,0.2857142857142857,0.13333333333333333,0.18181818181818182,0.03125,0,3,32,0.0,0.0,0.0,7d_002_async_f1_s1_l50_at1.0_scrMDL.bif
7,002,async,1,10,10,0.7,MDL,0,4,15,0.0,0.0,0.0,0.015625,1,3,64,0.015625,0.3333333333333333,0.029850746268656716,7d_002_async_f1_s10_l10_at0.7_scrMDL.bif
7,002,sync,1,1,10,0.9,MDL,3,0,12,1.0,0.2,0.33333333333333337,0.125,2,3,16,0.125,0.6666666666666666,0.21052631578947367,7d_002_sync_f1_s1_l10_at0.9_scrMDL.bif
7,002,async,1,100,50,1.0,BDE,12,6,3,0.6666666666666666,0.8,0.7272727272727272,0.046875,2,3,84,0.023809523809523808,0.6666666666666666,0.04597701149425287,7d_002_async_f1_s100_l50_at1.0_scrBDE.bif
7,002,async,1,10,500,1.0,BDE,12,6,3,0.6666666666666666,0.8,0.7272727272727272,0.0390625,2,3,96,0.020833333333333332,0.6666666666666666,0.0404040404040404,7d_002_async_f1_s10_l500_at1.0_scrBDE.bif
7,002,sync,1,10,100,1.0,BDE,11,0,4,1.0,0.7333333333333333,0.846153846153846,0.5625,3,3,3,1.0,1.0,1.0,7d_002_sync_f1_s10_l100_at1.0_scrBDE.bif
7,002,async,5,300,100,1.0,BDE,11,8,4,0.5789473684210527,0.7333333333333333,0.6470588235294117,0.078125,2,3,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,7d_002_async_f5_s300_l100_at1.0_scrBDE.bif
7,002,async,1,1,50,0.8,MDL,3,1,12,0.75,0.2,0.31578947368421056,0.0625,1,3,16,0.0625,0.3333333333333333,0.10526315789473684,7d_002_async_f1_s1_l50_at0.8_scrMDL.bif
7,002,sync,5,100,500,1.0,BDE,9,8,6,0.5294117647058824,0.6,0.5625,0.078125,3,3,3,1.0,1.0,1.0,7d_002_sync_f5_s100_l500_at1.0_scrBDE.bif
7,002,async,1,300,10,0.8,MDL,13,7,2,0.65,0.8666666666666667,0.7428571428571429,0.265625,2,3,22,0.09090909090909091,0.6666666666666666,0.16,7d_002_async_f1_s300_l10_at0.8_scrMDL.bif
7,002,async,1,10,10,0.0,BDE,6,4,9,0.6,0.4,0.48,0.078125,2,3,32,0.0625,0.6666666666666666,0.11428571428571428,7d_002_async_f1_s10_l10_at0.0_scrBDE.bif
7,002,sync,10,300,100,1.0,MDL,11,8,4,0.5789473684210527,0.7333333333333333,0.6470588235294117,0.265625,3,3,3,1.0,1.0,1.0,7d_002_sync_f10_s300_l100_at1.0_scrMDL.bif
7,002,sync,1,300,10,0.9,MDL,11,2,4,0.8461538461538461,0.7333333333333333,0.7857142857142856,0.359375,3,3,4,0.75,1.0,0.8571428571428571,7d_002_sync_f1_s300_l10_at0.9_scrMDL.bif
7,002,sync,5,300,100,1.0,MDL,9,8,6,0.5294117647058824,0.6,0.5625,0.078125,3,3,3,1.0,1.0,1.0,7d_002_sync_f5_s300_l100_at1.0_scrMDL.bif
7,002,async,5,100,10,0.9,BDE,11,10,4,0.5238095238095238,0.7333333333333333,0.611111111111111,0.078125,2,3,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,7d_002_async_f5_s100_l10_at0.9_scrBDE.bif
7,002,sync,10,100,500,1.0,BDE,11,8,4,0.5789473684210527,0.7333333333333333,0.6470588235294117,0.265625,3,3,3,1.0,1.0,1.0,7d_002_sync_f10_s100_l500_at1.0_scrBDE.bif
7,002,sync,1,10,50,1.0,BDE,6,1,9,0.8571428571428571,0.4,0.5454545454545455,0.125,2,3,20,0.1,0.6666666666666666,0.1739130434782609,7d_002_sync_f1_s10_l50_at1.0_scrBDE.bif
7,002,async,10,10,10,1.0,MDL,0,1,15,0.0,0.0,0.0,0.015625,2,3,128,0.015625,0.6666666666666666,0.030534351145038167,7d_002_async_f10_s10_l10_at1.0_scrMDL.bif
7,002,sync,1,1,500,1.0,BDE,3,1,12,0.75,0.2,0.31578947368421056,0.109375,3,3,32,0.09375,1.0,0.17142857142857143,7d_002_sync_f1_s1_l500_at1.0_scrBDE.bif
7,002,async,1,1,500,1.0,BDE,8,6,7,0.5714285714285714,0.5333333333333333,0.5517241379310344,0.0390625,0,3,48,0.0,0.0,0.0,7d_002_async_f1_s1_l500_at1.0_scrBDE.bif
7,002,async,5,1,10,0.8,MDL,0,0,15,0.0,0.0,0.0,0.015625,2,3,128,0.015625,0.6666666666666666,0.030534351145038167,7d_002_async_f5_s1_l10_at0.8_scrMDL.bif
7,002,async,1,10,50,1.0,BDE,11,5,4,0.6875,0.7333333333333333,0.7096774193548386,0.046875,2,3,72,0.027777777777777776,0.6666666666666666,0.05333333333333333,7d_002_async_f1_s10_l50_at1.0_scrBDE.bif
7,002,sync,5,300,50,1.0,MDL,9,8,6,0.5294117647058824,0.6,0.5625,0.078125,3,3,3,1.0,1.0,1.0,7d_002_sync_f5_s300_l50_at1.0_scrMDL.bif
7,002,async,1,1,10,0.7,BDE,1,0,14,1.0,0.06666666666666667,0.125,0.03125,2,3,64,0.03125,0.6666666666666666,0.05970149253731343,7d_002_async_f1_s1_l10_at0.7_scrBDE.bif
7,002,async,5,100,500,1.0,MDL,13,8,2,0.6190476190476191,0.8666666666666667,0.7222222222222222,0.078125,2,3,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,7d_002_async_f5_s100_l500_at1.0_scrMDL.bif
7,002,sync,10,10,10,0.9,MDL,4,5,11,0.4444444444444444,0.26666666666666666,0.33333333333333337,0.1875,3,3,8,0.375,1.0,0.5454545454545454,7d_002_sync_f10_s10_l10_at0.9_scrMDL.bif
7,002,async,1,100,10,0.7,MDL,12,5,3,0.7058823529411765,0.8,0.7500000000000001,0.1796875,2,3,17,0.11764705882352941,0.6666666666666666,0.2,7d_002_async_f1_s100_l10_at0.7_scrMDL.bif
7,002,async,1,300,10,0.5,MDL,12,7,3,0.631578947368421,0.8,0.7058823529411765,0.1953125,2,3,24,0.08333333333333333,0.6666666666666666,0.14814814814814814,7d_002_async_f1_s300_l10_at0.5_scrMDL.bif
7,002,sync,5,1,500,1.0,BDE,1,3,14,0.25,0.06666666666666667,0.10526315789473685,0.03125,3,3,32,0.09375,1.0,0.17142857142857143,7d_002_sync_f5_s1_l500_at1.0_scrBDE.bif
7,002,sync,5,100,10,1.0,BDE,2,5,13,0.2857142857142857,0.13333333333333333,0.18181818181818182,0.046875,3,3,16,0.1875,1.0,0.3157894736842105,7d_002_sync_f5_s100_l10_at1.0_scrBDE.bif
7,002,sync,10,100,10,0.9,MDL,11,8,4,0.5789473684210527,0.7333333333333333,0.6470588235294117,0.265625,3,3,3,1.0,1.0,1.0,7d_002_sync_f10_s100_l10_at0.9_scrMDL.bif
7,002,sync,5,10,50,1.0,BDE,2,5,13,0.2857142857142857,0.13333333333333333,0.18181818181818182,0.046875,3,3,16,0.1875,1.0,0.3157894736842105,7d_002_sync_f5_s10_l50_at1.0_scrBDE.bif
7,002,sync,1,100,10,0.6,MDL,4,0,11,1.0,0.26666666666666666,0.4210526315789474,0.078125,1,3,16,0.0625,0.3333333333333333,0.10526315789473684,7d_002_sync_f1_s100_l10_at0.6_scrMDL.bif
7,002,async,5,10,50,1.0,BDE,7,7,8,0.5,0.4666666666666667,0.4827586206896552,0.078125,2,3,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,7d_002_async_f5_s10_l50_at1.0_scrBDE.bif
