dim,id,mode,freq,size,len,attr_ratio,score,TP,FP,FN,Precision,Recall,F1,Transition_Accuracy,Attractors_Correct,Attractors_True_Count,Attractors_Learned_Count,Attractors_Precision,Attractors_Recall,Attractors_F1,filename
7,004,sync,5,1,100,1.0,MDL,2,1,17,0.6666666666666666,0.10526315789473684,0.18181818181818182,0.0,1,3,64,0.015625,0.3333333333333333,0.029850746268656716,7d_004_sync_f5_s1_l100_at1.0_scrMDL.bif
7,004,sync,1,100,10,0.5,MDL,19,0,0,1.0,1.0,1.0,1.0,3,3,3,1.0,1.0,1.0,7d_004_sync_f1_s100_l10_at0.5_scrMDL.bif
7,004,async,1,1,50,0.4,BDE,5,1,14,0.8333333333333334,0.2631578947368421,0.39999999999999997,0.0703125,1,3,16,0.0625,0.3333333333333333,0.10526315789473684,7d_004_async_f1_s1_l50_at0.4_scrBDE.bif
7,004,sync,1,300,10,0.7,MDL,19,0,0,1.0,1.0,1.0,1.0,3,3,3,1.0,1.0,1.0,7d_004_sync_f1_s300_l10_at0.7_scrMDL.bif
7,004,sync,1,10,50,0.9,MDL,17,0,2,1.0,0.8947368421052632,0.9444444444444444,0.6875,2,3,4,0.5,0.6666666666666666,0.5714285714285715,7d_004_sync_f1_s10_l50_at0.9_scrMDL.bif
7,004,async,5,10,10,0.9,MDL,6,4,13,0.6,0.3157894736842105,0.41379310344827586,0.03125,1,3,4,0.25,0.3333333333333333,0.28571428571428575,7d_004_async_f5_s10_l10_at0.9_scrMDL.bif
7,004,async,1,300,50,0.8,MDL,18,3,1,0.8571428571428571,0.9473684210526315,0.9,0.1171875,1,3,48,0.020833333333333332,0.3333333333333333,0.0392156862745098,7d_004_async_f1_s300_l50_at0.8_scrMDL.bif
7,004,async,1,300,100,0.9,MDL,16,5,3,0.7619047619047619,0.8421052631578947,0.8,0.0859375,1,3,44,0.022727272727272728,0.3333333333333333,0.04255319148936171,7d_004_async_f1_s300_l100_at0.9_scrMDL.bif
7,004,async,5,100,10,0.6,MDL,14,5,5,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.1015625,1,3,8,0.125,0.3333333333333333,0.18181818181818182,7d_004_async_f5_s100_l10_at0.6_scrMDL.bif
7,004,async,1,1,10,0.1,BDE,0,0,19,0.0,0.0,0.0,0.0078125,1,3,128,0.0078125,0.3333333333333333,0.015267175572519083,7d_004_async_f1_s1_l10_at0.1_scrBDE.bif
7,004,async,1,100,10,1.0,BDE,8,5,11,0.6153846153846154,0.42105263157894735,0.5,0.0859375,2,3,24,0.08333333333333333,0.6666666666666666,0.14814814814814814,7d_004_async_f1_s100_l10_at1.0_scrBDE.bif
7,004,sync,10,1,500,1.0,BDE,0,0,19,0.0,0.0,0.0,0.0078125,1,3,128,0.0078125,0.3333333333333333,0.015267175572519083,7d_004_sync_f10_s1_l500_at1.0_scrBDE.bif
7,004,sync,1,100,100,1.0,BDE,19,0,0,1.0,1.0,1.0,1.0,3,3,3,1.0,1.0,1.0,7d_004_sync_f1_s100_l100_at1.0_scrBDE.bif
7,004,sync,10,10,50,1.0,BDE,6,4,13,0.6,0.3157894736842105,0.41379310344827586,0.046875,1,3,32,0.03125,0.3333333333333333,0.05714285714285714,7d_004_sync_f10_s10_l50_at1.0_scrBDE.bif
7,004,sync,1,1,10,0.9,BDE,1,0,18,1.0,0.05263157894736842,0.1,0.0234375,0,3,64,0.0,0.0,0.0,7d_004_sync_f1_s1_l10_at0.9_scrBDE.bif
7,004,async,1,1,50,0.3,MDL,5,0,14,1.0,0.2631578947368421,0.4166666666666667,0.1015625,1,3,16,0.0625,0.3333333333333333,0.10526315789473684,7d_004_async_f1_s1_l50_at0.3_scrMDL.bif
7,004,sync,1,1,100,1.0,MDL,4,0,15,1.0,0.21052631578947367,0.34782608695652173,0.0625,1,3,16,0.0625,0.3333333333333333,0.10526315789473684,7d_004_sync_f1_s1_l100_at1.0_scrMDL.bif
7,004,async,10,100,500,1.0,BDE,14,7,5,0.6666666666666666,0.7368421052631579,0.7,0.0234375,1,3,5,0.2,0.3333333333333333,0.25,7d_004_async_f10_s100_l500_at1.0_scrBDE.bif
7,004,async,10,10,100,1.0,MDL,7,6,12,0.5384615384615384,0.3684210526315789,0.4375,0.0703125,1,3,4,0.25,0.3333333333333333,0.28571428571428575,7d_004_async_f10_s10_l100_at1.0_scrMDL.bif
7,004,sync,5,300,10,0.9,BDE,14,5,5,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.09375,3,3,6,0.5,1.0,0.6666666666666666,7d_004_sync_f5_s300_l10_at0.9_scrBDE.bif
7,004,async,1,10,10,0.9,MDL,7,3,12,0.7,0.3684210526315789,0.48275862068965514,0.0546875,1,3,11,0.09090909090909091,0.3333333333333333,0.14285714285714288,7d_004_async_f1_s10_l10_at0.9_scrMDL.bif
7,004,async,1,300,50,1.0,MDL,13,7,6,0.65,0.6842105263157895,0.6666666666666667,0.125,2,3,12,0.16666666666666666,0.6666666666666666,0.26666666666666666,7d_004_async_f1_s300_l50_at1.0_scrMDL.bif
7,004,async,1,100,10,0.8,BDE,16,4,3,0.8,0.8421052631578947,0.8205128205128205,0.234375,1,3,20,0.05,0.3333333333333333,0.08695652173913045,7d_004_async_f1_s100_l10_at0.8_scrBDE.bif
7,004,async,5,1,10,0.9,BDE,0,0,19,0.0,0.0,0.0,0.0078125,1,3,128,0.0078125,0.3333333333333333,0.015267175572519083,7d_004_async_f5_s1_l10_at0.9_scrBDE.bif
7,004,async,10,10,10,0.7,BDE,7,3,12,0.7,0.3684210526315789,0.48275862068965514,0.046875,1,3,8,0.125,0.3333333333333333,0.18181818181818182,7d_004_async_f10_s10_l10_at0.7_scrBDE.bif
7,004,async,1,300,500,1.0,MDL,16,5,3,0.7619047619047619,0.8421052631578947,0.8,0.0703125,1,3,52,0.019230769230769232,0.3333333333333333,0.03636363636363637,7d_004_async_f1_s300_l500_at1.0_scrMDL.bif
7,004,async,1,1,10,0.6,MDL,1,0,18,1.0,0.05263157894736842,0.1,0.0078125,0,3,64,0.0,0.0,0.0,7d_004_async_f1_s1_l10_at0.6_scrMDL.bif
7,004,async,10,300,10,0.9,BDE,13,8,6,0.6190476190476191,0.6842105263157895,0.6500000000000001,0.046875,1,3,5,0.2,0.3333333333333333,0.25,7d_004_async_f10_s300_l10_at0.9_scrBDE.bif
7,004,sync,5,10,100,1.0,MDL,7,9,12,0.4375,0.3684210526315789,0.39999999999999997,0.0390625,3,3,4,0.75,1.0,0.8571428571428571,7d_004_sync_f5_s10_l100_at1.0_scrMDL.bif
7,004,sync,1,300,100,0.9,MDL,19,0,0,1.0,1.0,1.0,1.0,3,3,3,1.0,1.0,1.0,7d_004_sync_f1_s300_l100_at0.9_scrMDL.bif
7,004,async,5,300,10,0.9,MDL,13,8,6,0.6190476190476191,0.6842105263157895,0.6500000000000001,0.0703125,1,3,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,7d_004_async_f5_s300_l10_at0.9_scrMDL.bif
7,004,async,5,1,10,0.3,MDL,1,0,18,1.0,0.05263157894736842,0.1,0.0078125,1,3,64,0.015625,0.3333333333333333,0.029850746268656716,7d_004_async_f5_s1_l10_at0.3_scrMDL.bif
7,004,async,1,10,50,0.6,BDE,10,4,9,0.7142857142857143,0.5263157894736842,0.6060606060606061,0.0703125,2,3,40,0.05,0.6666666666666666,0.09302325581395349,7d_004_async_f1_s10_l50_at0.6_scrBDE.bif
7,004,sync,1,1,10,0.4,BDE,1,0,18,1.0,0.05263157894736842,0.1,0.03125,1,3,64,0.015625,0.3333333333333333,0.029850746268656716,7d_004_sync_f1_s1_l10_at0.4_scrBDE.bif
7,004,async,1,100,10,0.2,MDL,18,3,1,0.8571428571428571,0.9473684210526315,0.9,0.109375,1,3,43,0.023255813953488372,0.3333333333333333,0.04347826086956522,7d_004_async_f1_s100_l10_at0.2_scrMDL.bif
7,004,sync,1,300,50,1.0,BDE,18,0,1,1.0,0.9473684210526315,0.972972972972973,0.765625,3,3,3,1.0,1.0,1.0,7d_004_sync_f1_s300_l50_at1.0_scrBDE.bif
7,004,async,1,1,100,0.7,BDE,4,3,15,0.5714285714285714,0.21052631578947367,0.3076923076923077,0.0546875,0,3,32,0.0,0.0,0.0,7d_004_async_f1_s1_l100_at0.7_scrBDE.bif
7,004,async,1,300,10,0.0,MDL,15,4,4,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.1015625,1,3,36,0.027777777777777776,0.3333333333333333,0.05128205128205128,7d_004_async_f1_s300_l10_at0.0_scrMDL.bif
7,004,async,1,100,100,1.0,BDE,14,6,5,0.7,0.7368421052631579,0.717948717948718,0.171875,2,3,7,0.2857142857142857,0.6666666666666666,0.4,7d_004_async_f1_s100_l100_at1.0_scrBDE.bif
7,004,async,1,1,50,0.9,BDE,2,1,17,0.6666666666666666,0.10526315789473684,0.18181818181818182,0.046875,1,3,32,0.03125,0.3333333333333333,0.05714285714285714,7d_004_async_f1_s1_l50_at0.9_scrBDE.bif
7,004,async,5,10,10,0.4,MDL,4,0,15,1.0,0.21052631578947367,0.34782608695652173,0.0078125,0,3,16,0.0,0.0,0.0,7d_004_async_f5_s10_l10_at0.4_scrMDL.bif
7,004,async,10,300,100,1.0,MDL,13,8,6,0.6190476190476191,0.6842105263157895,0.6500000000000001,0.046875,1,3,5,0.2,0.3333333333333333,0.25,7d_004_async_f10_s300_l100_at1.0_scrMDL.bif
7,004,async,5,10,100,1.0,BDE,5,6,14,0.45454545454545453,0.2631578947368421,0.3333333333333333,0.046875,1,3,6,0.16666666666666666,0.3333333333333333,0.2222222222222222,7d_004_async_f5_s10_l100_at1.0_scrBDE.bif
7,004,async,1,10,10,0.3,BDE,7,3,12,0.7,0.3684210526315789,0.48275862068965514,0.0546875,1,3,48,0.020833333333333332,0.3333333333333333,0.0392156862745098,7d_004_async_f1_s10_l10_at0.3_scrBDE.bif
7,004,async,1,100,50,0.7,MDL,18,3,1,0.8571428571428571,0.9473684210526315,0.9,0.1953125,1,3,36,0.027777777777777776,0.3333333333333333,0.05128205128205128,7d_004_async_f1_s100_l50_at0.7_scrMDL.bif
7,004,sync,1,100,10,0.8,MDL,18,0,1,1.0,0.9473684210526315,0.972972972972973,0.765625,3,3,3,1.0,1.0,1.0,7d_004_sync_f1_s100_l10_at0.8_scrMDL.bif
7,004,async,1,300,10,0.7,BDE,18,3,1,0.8571428571428571,0.9473684210526315,0.9,0.1640625,1,3,18,0.05555555555555555,0.3333333333333333,0.09523809523809525,7d_004_async_f1_s300_l10_at0.7_scrBDE.bif
7,004,sync,1,10,10,0.6,BDE,14,0,5,1.0,0.7368421052631579,0.8484848484848484,0.390625,2,3,4,0.5,0.6666666666666666,0.5714285714285715,7d_004_sync_f1_s10_l10_at0.6_scrBDE.bif
7,004,sync,10,300,10,0.9,BDE,13,6,6,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.1640625,2,3,14,0.14285714285714285,0.6666666666666666,0.23529411764705882,7d_004_sync_f10_s300_l10_at0.9_scrBDE.bif
7,004,sync,1,300,500,1.0,MDL,19,0,0,1.0,1.0,1.0,1.0,3,3,3,1.0,1.0,1.0,7d_004_sync_f1_s300_l500_at1.0_scrMDL.bif
7,004,async,1,100,10,0.5,BDE,18,3,1,0.8571428571428571,0.9473684210526315,0.9,0.125,1,3,40,0.025,0.3333333333333333,0.046511627906976744,7d_004_async_f1_s100_l10_at0.5_scrBDE.bif
7,004,async,1,100,100,0.8,BDE,18,3,1,0.8571428571428571,0.9473684210526315,0.9,0.09375,2,3,44,0.045454545454545456,0.6666666666666666,0.08510638297872342,7d_004_async_f1_s100_l100_at0.8_scrBDE.bif
7,004,async,5,1,10,0.4,BDE,0,0,19,0.0,0.0,0.0,0.0078125,1,3,128,0.0078125,0.3333333333333333,0.015267175572519083,7d_004_async_f5_s1_l10_at0.4_scrBDE.bif
7,004,async,10,1,500,1.0,MDL,0,0,19,0.0,0.0,0.0,0.0078125,1,3,128,0.0078125,0.3333333333333333,0.015267175572519083,7d_004_async_f10_s1_l500_at1.0_scrMDL.bif
7,004,async,10,1,10,0.9,BDE,0,0,19,0.0,0.0,0.0,0.0078125,1,3,128,0.0078125,0.3333333333333333,0.015267175572519083,7d_004_async_f10_s1_l10_at0.9_scrBDE.bif
7,004,async,1,10,10,0.4,MDL,8,3,11,0.7272727272727273,0.42105263157894735,0.5333333333333333,0.0390625,0,3,64,0.0,0.0,0.0,7d_004_async_f1_s10_l10_at0.4_scrMDL.bif
7,004,async,10,10,50,1.0,MDL,4,3,15,0.5714285714285714,0.21052631578947367,0.3076923076923077,0.03125,0,3,8,0.0,0.0,0.0,7d_004_async_f10_s10_l50_at1.0_scrMDL.bif
7,004,async,5,100,50,0.9,BDE,12,8,7,0.6,0.631578947368421,0.6153846153846154,0.078125,1,3,9,0.1111111111111111,0.3333333333333333,0.16666666666666666,7d_004_async_f5_s100_l50_at0.9_scrBDE.bif
7,004,sync,10,10,100,1.0,MDL,10,2,9,0.8333333333333334,0.5263157894736842,0.6451612903225806,0.03125,1,3,18,0.05555555555555555,0.3333333333333333,0.09523809523809525,7d_004_sync_f10_s10_l100_at1.0_scrMDL.bif
7,004,sync,1,100,10,1.0,MDL,7,4,12,0.6363636363636364,0.3684210526315789,0.4666666666666667,0.078125,3,3,28,0.10714285714285714,1.0,0.19354838709677416,7d_004_sync_f1_s100_l10_at1.0_scrMDL.bif
7,004,sync,10,100,500,1.0,MDL,11,10,8,0.5238095238095238,0.5789473684210527,0.5500000000000002,0.171875,2,3,13,0.15384615384615385,0.6666666666666666,0.25,7d_004_sync_f10_s100_l500_at1.0_scrMDL.bif
7,004,async,5,300,50,0.9,MDL,13,8,6,0.6190476190476191,0.6842105263157895,0.6500000000000001,0.078125,1,3,10,0.1,0.3333333333333333,0.15384615384615383,7d_004_async_f5_s300_l50_at0.9_scrMDL.bif
7,004,async,1,10,10,0.6,BDE,9,4,10,0.6923076923076923,0.47368421052631576,0.5625,0.09375,2,3,44,0.045454545454545456,0.6666666666666666,0.08510638297872342,7d_004_async_f1_s10_l10_at0.6_scrBDE.bif
7,004,sync,1,300,10,1.0,BDE,7,4,12,0.6363636363636364,0.3684210526315789,0.4666666666666667,0.09375,3,3,24,0.125,1.0,0.2222222222222222,7d_004_sync_f1_s300_l10_at1.0_scrBDE.bif
7,004,async,5,100,500,1.0,BDE,15,6,4,0.7142857142857143,0.7894736842105263,0.7500000000000001,0.1015625,1,3,4,0.25,0.3333333333333333,0.28571428571428575,7d_004_async_f5_s100_l500_at1.0_scrBDE.bif
7,004,async,1,100,10,0.7,MDL,17,3,2,0.85,0.8947368421052632,0.8717948717948718,0.109375,1,3,24,0.041666666666666664,0.3333333333333333,0.07407407407407407,7d_004_async_f1_s100_l10_at0.7_scrMDL.bif
