dim,id,mode,freq,size,len,attr_ratio,score,TP,FP,FN,Precision,Recall,F1,Transition_Accuracy,Attractors_Correct,Attractors_True_Count,Attractors_Learned_Count,Attractors_Precision,Attractors_Recall,Attractors_F1,filename
7,003,async,10,1,10,1.0,BDE,0,0,19,0.0,0.0,0.0,0.03125,4,4,128,0.03125,1.0,0.06060606060606061,7d_003_async_f10_s1_l10_at1.0_scrBDE.bif
7,003,async,1,1,10,0.6,BDE,2,0,17,1.0,0.10526315789473684,0.1904761904761905,0.03125,3,4,32,0.09375,0.75,0.16666666666666666,7d_003_async_f1_s1_l10_at0.6_scrBDE.bif
7,003,async,5,1,10,0.9,MDL,0,0,19,0.0,0.0,0.0,0.03125,4,4,128,0.03125,1.0,0.06060606060606061,7d_003_async_f5_s1_l10_at0.9_scrMDL.bif
7,003,async,1,10,10,0.2,BDE,3,5,16,0.375,0.15789473684210525,0.22222222222222218,0.03125,4,4,128,0.03125,1.0,0.06060606060606061,7d_003_async_f1_s10_l10_at0.2_scrBDE.bif
7,003,async,1,100,100,0.9,MDL,15,5,4,0.75,0.7894736842105263,0.7692307692307692,0.046875,4,4,112,0.03571428571428571,1.0,0.0689655172413793,7d_003_async_f1_s100_l100_at0.9_scrMDL.bif
7,003,sync,1,1,10,1.0,BDE,0,0,19,0.0,0.0,0.0,0.03125,4,4,128,0.03125,1.0,0.06060606060606061,7d_003_sync_f1_s1_l10_at1.0_scrBDE.bif
7,003,sync,1,100,10,0.9,MDL,3,5,16,0.375,0.15789473684210525,0.22222222222222218,0.0546875,3,4,12,0.25,0.75,0.375,7d_003_sync_f1_s100_l10_at0.9_scrMDL.bif
7,003,async,1,300,50,1.0,BDE,11,7,8,0.6111111111111112,0.5789473684210527,0.5945945945945946,0.0859375,4,4,19,0.21052631578947367,1.0,0.34782608695652173,7d_003_async_f1_s300_l50_at1.0_scrBDE.bif
7,003,async,1,100,10,0.8,MDL,11,5,8,0.6875,0.5789473684210527,0.6285714285714286,0.1171875,4,4,7,0.5714285714285714,1.0,0.7272727272727273,7d_003_async_f1_s100_l10_at0.8_scrMDL.bif
7,003,async,1,10,50,0.7,BDE,10,5,9,0.6666666666666666,0.5263157894736842,0.5882352941176471,0.0390625,4,4,80,0.05,1.0,0.09523809523809523,7d_003_async_f1_s10_l50_at0.7_scrBDE.bif
7,003,sync,1,1,100,1.0,BDE,0,0,19,0.0,0.0,0.0,0.03125,4,4,128,0.03125,1.0,0.06060606060606061,7d_003_sync_f1_s1_l100_at1.0_scrBDE.bif
7,003,async,10,10,10,0.7,MDL,5,7,14,0.4166666666666667,0.2631578947368421,0.3225806451612903,0.0546875,3,4,10,0.3,0.75,0.4285714285714285,7d_003_async_f10_s10_l10_at0.7_scrMDL.bif
7,003,async,1,10,10,0.5,MDL,6,5,13,0.5454545454545454,0.3157894736842105,0.39999999999999997,0.046875,4,4,72,0.05555555555555555,1.0,0.10526315789473684,7d_003_async_f1_s10_l10_at0.5_scrMDL.bif
7,003,async,10,1,10,0.8,BDE,0,0,19,0.0,0.0,0.0,0.03125,4,4,128,0.03125,1.0,0.06060606060606061,7d_003_async_f10_s1_l10_at0.8_scrBDE.bif
7,003,async,1,100,500,1.0,MDL,15,5,4,0.75,0.7894736842105263,0.7692307692307692,0.078125,4,4,72,0.05555555555555555,1.0,0.10526315789473684,7d_003_async_f1_s100_l500_at1.0_scrMDL.bif
7,003,sync,1,1,10,0.8,BDE,0,0,19,0.0,0.0,0.0,0.03125,4,4,128,0.03125,1.0,0.06060606060606061,7d_003_sync_f1_s1_l10_at0.8_scrBDE.bif
7,003,async,1,1,10,0.1,MDL,2,0,17,1.0,0.10526315789473684,0.1904761904761905,0.0390625,2,4,32,0.0625,0.5,0.1111111111111111,7d_003_async_f1_s1_l10_at0.1_scrMDL.bif
7,003,async,1,300,50,0.8,BDE,16,5,3,0.7619047619047619,0.8421052631578947,0.8,0.078125,4,4,88,0.045454545454545456,1.0,0.08695652173913045,7d_003_async_f1_s300_l50_at0.8_scrBDE.bif
7,003,async,10,100,500,1.0,BDE,10,11,9,0.47619047619047616,0.5263157894736842,0.5,0.0703125,4,4,5,0.8,1.0,0.888888888888889,7d_003_async_f10_s100_l500_at1.0_scrBDE.bif
7,003,sync,1,300,50,0.9,BDE,19,0,0,1.0,1.0,1.0,1.0,4,4,4,1.0,1.0,1.0,7d_003_sync_f1_s300_l50_at0.9_scrBDE.bif
7,003,sync,1,10,50,0.9,BDE,13,0,6,1.0,0.6842105263157895,0.8125000000000001,0.359375,3,4,3,1.0,0.75,0.8571428571428571,7d_003_sync_f1_s10_l50_at0.9_scrBDE.bif
