dim,id,mode,freq,size,len,attr_ratio,score,TP,FP,FN,Precision,Recall,F1,Transition_Accuracy,Attractors_Correct,Attractors_True_Count,Attractors_Learned_Count,Attractors_Precision,Attractors_Recall,Attractors_F1,filename
5,003,sync,1,300,10,0.8,MDL,3,1,3,0.75,0.5,0.6,0.1875,1,1,4,0.25,1.0,0.4,5d_003_sync_f1_s300_l10_at0.8_scrMDL.bif
5,003,async,1,1,10,0.1,MDL,0,0,6,0.0,0.0,0.0,0.03125,1,1,32,0.03125,1.0,0.06060606060606061,5d_003_async_f1_s1_l10_at0.1_scrMDL.bif
5,003,async,5,10,10,0.6,MDL,3,4,3,0.42857142857142855,0.5,0.4615384615384615,0.1875,1,1,1,1.0,1.0,1.0,5d_003_async_f5_s10_l10_at0.6_scrMDL.bif
5,003,async,1,100,50,1.0,MDL,1,5,5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.125,1,1,1,1.0,1.0,1.0,5d_003_async_f1_s100_l50_at1.0_scrMDL.bif
5,003,async,1,10,10,0.1,BDE,5,5,1,0.5,0.8333333333333334,0.625,0.1875,1,1,10,0.1,1.0,0.18181818181818182,5d_003_async_f1_s10_l10_at0.1_scrBDE.bif
5,003,async,1,10,500,1.0,MDL,5,4,1,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.25,1,1,2,0.5,1.0,0.6666666666666666,5d_003_async_f1_s10_l500_at1.0_scrMDL.bif
5,003,sync,5,1,100,1.0,BDE,0,0,6,0.0,0.0,0.0,0.03125,1,1,32,0.03125,1.0,0.06060606060606061,5d_003_sync_f5_s1_l100_at1.0_scrBDE.bif
5,003,sync,5,100,500,1.0,MDL,0,0,6,0.0,0.0,0.0,0.03125,1,1,32,0.03125,1.0,0.06060606060606061,5d_003_sync_f5_s100_l500_at1.0_scrMDL.bif
5,003,async,1,300,10,0.8,BDE,4,6,2,0.4,0.6666666666666666,0.5,0.125,1,1,1,1.0,1.0,1.0,5d_003_async_f1_s300_l10_at0.8_scrBDE.bif
5,003,async,10,1,50,0.9,MDL,0,1,6,0.0,0.0,0.0,0.03125,1,1,16,0.0625,1.0,0.11764705882352941,5d_003_async_f10_s1_l50_at0.9_scrMDL.bif
5,003,sync,1,100,50,1.0,BDE,3,1,3,0.75,0.5,0.6,0.1875,1,1,4,0.25,1.0,0.4,5d_003_sync_f1_s100_l50_at1.0_scrBDE.bif
5,003,sync,1,10,50,0.9,BDE,4,0,2,1.0,0.6666666666666666,0.8,0.375,1,1,2,0.5,1.0,0.6666666666666666,5d_003_sync_f1_s10_l50_at0.9_scrBDE.bif
5,003,sync,1,10,500,1.0,BDE,4,0,2,1.0,0.6666666666666666,0.8,0.375,1,1,2,0.5,1.0,0.6666666666666666,5d_003_sync_f1_s10_l500_at1.0_scrBDE.bif
5,003,sync,1,300,10,1.0,MDL,0,0,6,0.0,0.0,0.0,0.03125,1,1,32,0.03125,1.0,0.06060606060606061,5d_003_sync_f1_s300_l10_at1.0_scrMDL.bif
5,003,async,1,10,10,0.6,MDL,2,4,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.125,1,1,2,0.5,1.0,0.6666666666666666,5d_003_async_f1_s10_l10_at0.6_scrMDL.bif
5,003,async,1,10,100,0.9,MDL,4,5,2,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.09375,1,1,12,0.08333333333333333,1.0,0.15384615384615385,5d_003_async_f1_s10_l100_at0.9_scrMDL.bif
5,003,async,5,1,10,0.9,MDL,0,0,6,0.0,0.0,0.0,0.03125,1,1,32,0.03125,1.0,0.06060606060606061,5d_003_async_f5_s1_l10_at0.9_scrMDL.bif
5,003,async,1,100,50,0.8,MDL,6,6,0,0.5,1.0,0.6666666666666666,0.125,1,1,5,0.2,1.0,0.33333333333333337,5d_003_async_f1_s100_l50_at0.8_scrMDL.bif
5,003,async,1,1,10,0.6,BDE,0,0,6,0.0,0.0,0.0,0.03125,1,1,32,0.03125,1.0,0.06060606060606061,5d_003_async_f1_s1_l10_at0.6_scrBDE.bif
5,003,async,1,300,10,1.0,BDE,0,0,6,0.0,0.0,0.0,0.03125,1,1,32,0.03125,1.0,0.06060606060606061,5d_003_async_f1_s300_l10_at1.0_scrBDE.bif
